id	GSM3374384_NR	GSM3374365_NR	GSM868548_NR	GSM1103657_NR	GSM868569_NR	GSM3374364_NR	GSM1103624_NR	GSM3374410_NR	GSM3374381_NR	GSM1103649_NR	GSM868564_NR	GSM3374405_NR	GSM3374407_NR	GSM3374409_NR	GSM3374380_NR	GSM1103640_NR	GSM1103658_NR	GSM868551_NR	GSM3374414_R	GSM1103646_R	GSM1103651_R	GSM3374370_R	GSM3374386_R	GSM3374356_R	CGSM868575_R	GSM868567_R	GSM1103633_R	GSM3374368_R	GSM1103652_R	GSM3374413_R	GSM868555_R	GSM3374366_R	CGSM3374386_R	GSM1103644_R	GSM3374350_R	CGSM868553_R
IFI27_Epithelialcells	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
IRF1_Epithelialcells	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1
GAA_Epithelialcells	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0
MPP1_Epithelialcells	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0
ADIRF_Epithelialcells	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0
IFIT5_Epithelialcells	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1
GSTT1_Epithelialcells	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1
IRF9_Epithelialcells	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1
IRF8_Epithelialcells	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1
RUNX3_Epithelialcells	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0
IFI6_Epithelialcells	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1
SLC2A5_Epithelialcells	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1
FAS_Epithelialcells	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0
TYMP_Epithelialcells	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1
